ball_x,ball_y,speed_x,speed_y,time_to_hit,pred_x,my_x,blocker_x,blocker_y,action
55,404,-9,9,1.7777777777777777,39.0,10,110,240,MOVE_RIGHT
55,404,-9,9,999,100,85,110,240,MOVE_LEFT
55,401,9,-9,35.666666666666664,24.0,80,100,240,MOVE_LEFT
55,401,9,-9,999,100,15,100,240,MOVE_RIGHT
64,392,9,-9,34.666666666666664,24.0,75,95,240,MOVE_LEFT
64,392,9,-9,999,100,20,95,240,MOVE_RIGHT
73,383,9,-9,999,100,25,90,240,MOVE_RIGHT
73,383,9,-9,33.666666666666664,24.0,70,90,240,MOVE_LEFT
82,374,9,-9,999,100,30,85,240,MOVE_RIGHT
82,374,9,-9,32.666666666666664,24.0,65,85,240,MOVE_LEFT
91,365,9,-9,31.666666666666668,24.0,60,80,240,MOVE_LEFT
91,365,9,-9,999,100,35,80,240,MOVE_RIGHT
100,356,9,-9,999,100,40,75,240,MOVE_RIGHT
240,MOVE_LEFT
109,347,9,-9,999,100,45,70,240,MOVE_RIGHT
240,MOVE_LEFT
118,338,9,-9,999,100,50,65,240,MOVE_RIGHT
118,338,9,-9,28.666666666666668,24.0,45,65,240,MOVE_LEFT
127,329,9,-9,999,100,55,60,240,MOVE_RIGHT
240,MOVE_LEFT
136,320,9,-9,26.666666666666668,24.0,35,55,240,MOVE_LEFT
136,320,9,-9,999,100,60,55,240,MOVE_RIGHT
145,311,9,-9,999,100,65,50,240,MOVE_RIGHT
145,311,9,-9,25.666666666666668,24.0,30,50,240,MOVE_LEFT
154,302,9,-9,24.666666666666668,24.0,25,45,240,MOVE_LEFT
154,302,9,-9,999,100,70,45,240,MOVE_RIGHT
163,293,9,-9,23.666666666666668,24.0,20,40,240,MOVE_LEFT
163,293,9,-9,999,100,75,40,240,MOVE_RIGHT
172,284,9,-9,999,100,80,35,240,NONE
172,284,9,-9,22.666666666666668,24.0,15,35,240,MOVE_LEFT
181,275,9,-9,999,100,75,30,240,MOVE_RIGHT
181,275,9,-9,21.666666666666668,24.0,15,30,240,MOVE_LEFT
190,266,9,-9,20.666666666666668,24.0,10,25,240,MOVE_LEFT
190,266,9,-9,999,100,80,25,240,NONE
181,257,-9,-9,999,100,80,20,240,NONE
,20,240,MOVE_LEFT
