ball_x,ball_y,speed_x,speed_y,time_to_hit,pred_x,my_x,blocker_x,blocker_y,action
153,395,9,9,2.7777777777777777,178.0,150,55,240,MOVE_RIGHT
162,404,9,9,1.7777777777777777,178.0,150,60,240,MOVE_RIGHT
171,410,9,6,1.6666666666666667,186.0,155,65,240,MOVE_RIGHT
183,401,12,-9,35.666666666666664,189.0,80,70,240,MOVE_RIGHT
190,392,7,-9,999,100,155,75,240,MOVE_LEFT
190,392,7,-9,34.666666666666664,32.66666666666663,85,75,240,MOVE_LEFT
178,383,-12,-9,999,100,150,80,240,MOVE_LEFT
178,383,-12,-9,33.666666666666664,174.0,80,80,240,MOVE_RIGHT
166,374,-12,-9,32.666666666666664,174.0,85,85,240,MOVE_RIGHT
154,365,-12,-9,999,100,140,90,240,MOVE_LEFT
154,365,-12,-9,31.666666666666668,174.0,90,90,240,MOVE_RIGHT
142,356,-12,-9,999,100,135,95,240,MOVE_LEFT
,240,MOVE_RIGHT
130,347,-12,-9,29.666666666666668,174.0,100,100,240,MOVE_RIGHT
118,338,-12,-9,999,100,125,105,240,MOVE_LEFT
118,338,-12,-9,28.666666666666668,174.0,105,105,240,MOVE_RIGHT
106,329,-12,-9,27.666666666666668,174.0,110,110,240,MOVE_RIGHT
106,329,-12,-9,999,100,120,110,240,MOVE_LEFT
94,320,-12,-9,26.666666666666668,174.0,115,115,240,MOVE_RIGHT
94,320,-12,-9,999,100,115,115,240,MOVE_LEFT
82,311,-12,-9,25.666666666666668,174.0,120,120,240,MOVE_RIGHT
70,302,-12,-9,999,100,105,125,240,MOVE_LEFT
70,302,-12,-9,24.666666666666668,174.0,125,125,240,MOVE_RIGHT
58,293,-12,-9,999,100,100,130,240,MOVE_LEFT
58,293,-12,-9,23.666666666666668,174.0,130,130,240,MOVE_RIGHT
46,284,-12,-9,22.666666666666668,174.0,135,135,240,MOVE_RIGHT
34,275,-12,-9,999,100,90,140,240,MOVE_LEFT
34,275,-12,-9,21.666666666666668,174.0,140,140,240,MOVE_RIGHT
21,265,-13,-10,18.5,180.5,145,145,240,MOVE_RIGHT
8,255,-13,-10,17.5,180.5,150,150,240,MOVE_RIGHT
0,245,-8,-10,16.5,132.0,150,155,240,MOVE_LEFT
0,245,-8,-10,999,100,85,155,240,MOVE_LEFT
13,235,13,-10,999,100,85,160,240,MOVE_LEFT
13,235,13,-10,15.5,185.5,145,160,240,MOVE_RIGHT
26,225,13,-10,14.5,185.5,150,165,240,MOVE_RIGHT
39,215,13,-10,13.5,185.5,155,170,240,MOVE_RIGHT
52,205,13,-10,12.5,185.5,160,165,240,MOVE_RIGHT
52,205,13,-10,999,100,75,165,240,MOVE_RIGHT
65,195,13,-10,11.5,185.5,160,160,240,MOVE_RIGHT
65,195,13,-10,999,100,75,160,240,MOVE_RIGHT
78,185,13,-10,10.5,185.5,160,155,240,MOVE_RIGHT
91,175,13,-10,9.5,185.5,160,150,240,MOVE_RIGHT
104,165,13,-10,8.5,185.5,160,145,240,MOVE_RIGHT
117,155,13,-10,999,100,85,140,240,MOVE_LEFT
117,155,13,-10,7.5,185.5,160,140,240,MOVE_RIGHT
130,145,13,-10,6.5,185.5,160,135,240,MOVE_RIGHT
143,135,13,-10,999,100,75,130,240,MOVE_RIGHT
143,135,13,-10,5.5,185.5,160,130,240,MOVE_RIGHT
156,125,13,-10,4.5,185.5,160,125,240,MOVE_RIGHT
169,115,13,-10,999,100,75,120,240,MOVE_RIGHT
169,115,13,-10,3.5,185.5,160,120,240,MOVE_RIGHT
182,105,13,-10,2.5,185.5,160,115,240,MOVE_RIGHT
182,105,13,-10,999,100,75,115,240,MOVE_RIGHT
190,95,8,-10,999,100,75,110,240,MOVE_RIGHT
190,95,8,-10,1.5,198.0,160,110,240,MOVE_RIGHT
177,85,-13,-10,0.5,170.5,160,105,240,MOVE_LEFT
164,80,-13,-5,0.0,164.0,155,100,240,MOVE_LEFT
151,90,-13,10,33.0,122.0,75,95,240,MOVE_RIGHT
151,90,-13,10,999,100,150,95,240,MOVE_LEFT
138,100,-13,10,999,100,145,90,240,MOVE_LEFT
138,100,-13,10,32.0,122.0,80,90,240,MOVE_RIGHT
125,110,-13,10,31.0,122.0,85,85,240,MOVE_RIGHT
125,110,-13,10,999,100,140,85,240,MOVE_LEFT
